UserID,SessionID,ActivityType,Timestamp,ProductID,Category,Price,Location,Device
User006,Session00068,Logout,2025-02-04 12:54:38,,,,Nagoya,Desktop
User015,Session00035,Purchase,2025-02-04 12:25:33,Prod106,Sports,59.99,Kyoto,Mobile
User005,Session00096,Page View,2025-02-04 09:51:40,Prod101,Electronics,199.99,Tokyo,Mobile
User015,Session00013,Add to Cart,2025-02-04 10:21:12,Prod106,Sports,59.99,Nagoya,Mobile
User009,Session00092,Checkout,2025-02-04 11:26:48,Prod102,Clothing,49.99,Sendai,Desktop
User020,Session00098,Checkout,2025-02-04 17:51:14,Prod103,Books,15.99,Kyoto,Tablet
User009,Session00089,Page View,2025-02-04 19:51:42,Prod102,Clothing,49.99,Kyoto,Mobile
User005,Session00046,Page View,2025-02-04 12:12:15,Prod104,Home & Kitchen,89.99,Nagoya,Mobile
User014,Session00064,Page View,2025-02-04 16:47:59,Prod101,Electronics,199.99,Fukuoka,Tablet
User007,Session00032,Add to Cart,2025-02-04 16:09:50,Prod104,Home & Kitchen,89.99,Kyoto,Mobile
User014,Session00059,Search,2025-02-04 00:27:22,,,,Hiroshima,Tablet
User006,Session00080,Search,2025-02-04 10:41:09,,,,Fukuoka,Mobile
User004,Session00039,Page View,2025-02-04 05:20:49,Prod106,Sports,59.99,Hiroshima,Mobile
User012,Session00074,Logout,2025-02-04 16:18:39,,,,Sendai,Desktop
User019,Session00082,Search,2025-02-04 01:07:53,,,,Tokyo,Mobile
User018,Session00098,Logout,2025-02-04 11:15:33,,,,Fukuoka,Desktop
User013,Session00005,Logout,2025-02-04 09:20:11,,,,Osaka,Desktop
User008,Session00008,Search,2025-02-04 00:18:43,,,,Nagoya,Tablet
User016,Session00076,Logout,2025-02-04 07:25:44,,,,Sapporo,Tablet
User010,Session00092,Checkout,2025-02-04 17:52:52,Prod101,Electronics,199.99,Sendai,Tablet
User007,Session00021,Page View,2025-02-04 01:16:23,Prod101,Electronics,199.99,Sapporo,Mobile
User015,Session00022,Logout,2025-02-04 00:40:10,,,,Sendai,Desktop
User007,Session00049,Logout,2025-02-04 04:16:57,,,,Hiroshima,Mobile
User011,Session00036,Purchase,2025-02-04 11:27:59,Prod103,Books,15.99,Kyoto,Desktop
User019,Session00067,Logout,2025-02-04 21:33:52,,,,Sapporo,Tablet
User004,Session00075,Page View,2025-02-04 21:07:53,Prod105,Toys,29.99,Tokyo,Mobile
User005,Session00048,Page View,2025-02-04 04:32:21,Prod102,Clothing,49.99,Fukuoka,Tablet
User020,Session00052,Purchase,2025-02-04 12:52:15,Prod103,Books,15.99,Kyoto,Mobile
User008,Session00040,Search,2025-02-04 23:32:13,,,,Fukuoka,Mobile
User017,Session00003,Page View,2025-02-04 11:19:09,Prod102,Clothing,49.99,Nagoya,Desktop
User016,Session00045,Checkout,2025-02-04 09:25:54,Prod104,Home & Kitchen,89.99,Tokyo,Mobile
User006,Session00059,Add to Cart,2025-02-04 09:30:44,Prod106,Sports,59.99,Sapporo,Desktop
User011,Session00077,Search,2025-02-04 23:10:32,,,,Osaka,Desktop
User001,Session00038,Checkout,2025-02-04 00:55:19,Prod106,Sports,59.99,Sendai,Tablet
User013,Session00058,Checkout,2025-02-04 06:59:11,Prod104,Home & Kitchen,89.99,Kyoto,Mobile
User011,Session00032,Logout,2025-02-04 18:38:52,,,,Hiroshima,Desktop
User001,Session00062,Add to Cart,2025-02-04 01:39:07,Prod104,Home & Kitchen,89.99,Osaka,Mobile
User012,Session00045,Search,2025-02-04 12:02:09,,,,Kyoto,Tablet
User020,Session00094,Checkout,2025-02-04 14:23:17,Prod104,Home & Kitchen,89.99,Sapporo,Desktop
User019,Session00075,Page View,2025-02-04 19:20:59,Prod104,Home & Kitchen,89.99,Hiroshima,Mobile
User007,Session00052,Checkout,2025-02-04 19:51:59,Prod104,Home & Kitchen,89.99,Hiroshima,Tablet
User020,Session00077,Purchase,2025-02-04 00:46:58,Prod104,Home & Kitchen,89.99,Tokyo,Mobile
User007,Session00087,Search,2025-02-04 15:33:06,,,,Sendai,Desktop
